GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7Z001,H7Z002,H7Z003,H7Z004,H7Z005,H7Z006,H7Z007,H7Z008,H7Z009,H7Z010,H7Z011,H7Z012,H7Z013,H7Z014,H7Z015,H7Z016,H7Z017
"G0100010","2010","3","6","Alabama","01","Autauga County","001",,,,,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,,,"Autauga County",,54571,53261,42154,9595,217,467,22,45,761,1310,701,48,15,7,10,421,108
"G0100030","2010","3","6","Alabama","01","Baldwin County","003",,,,,,,,,,,,,,"19300","99999","380",,,,,,,,,,,,,,"Baldwin County",,182265,174273,152200,16966,1146,1340,79,245,2297,7992,3953,139,70,8,10,3386,426
"G0100050","2010","3","6","Alabama","01","Barbour County","005",,,,,,,,,,,,,,"21640","99999","999",,,,,,,,,,,,,,"Barbour County",,27457,26070,12837,12820,60,107,24,13,209,1387,343,55,54,0,5,881,49
"G0100070","2010","3","6","Alabama","01","Bibb County","007",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Bibb County",,22915,22509,17191,5024,64,22,7,20,181,406,190,23,0,0,6,165,22
"G0100090","2010","3","6","Alabama","01","Blount County","009",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Blount County",,57322,52696,50952,724,285,115,18,35,567,4626,2116,37,22,2,20,2312,117
"G0100110","2010","3","6","Alabama","01","Bullock County","011",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Bullock County",,10914,10137,2392,7637,20,20,4,5,59,777,115,29,3,0,39,564,27
"G0100130","2010","3","6","Alabama","01","Butler County","013",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Butler County",,20947,20756,11324,9047,59,174,7,3,142,191,75,48,1,3,0,45,19
"G0100150","2010","3","6","Alabama","01","Calhoun County","015",,,,,,,,,,,,,,"11500","99999","999",,,,,,,,,,,,,,"Calhoun County",,118572,114679,87285,24177,480,830,94,109,1704,3893,1555,205,60,15,2,1785,271
"G0100170","2010","3","6","Alabama","01","Chambers County","017",,,,,,,,,,,,,,"46740","99999","122",,,,,,,,,,,,,,"Chambers County",,34215,33679,19893,13206,57,166,7,23,327,536,219,51,12,2,3,191,58
"G0100190","2010","3","6","Alabama","01","Cherokee County","019",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Cherokee County",,25989,25669,23929,1206,122,49,1,15,347,320,152,2,13,5,0,108,40
"G0100210","2010","3","6","Alabama","01","Chilton County","021",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Chilton County",,43643,40223,35395,4171,134,125,11,34,353,3420,1318,59,21,5,44,1820,153
"G0100230","2010","3","6","Alabama","01","Choctaw County","023",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Choctaw County",,13859,13786,7700,5990,18,12,0,10,56,73,31,22,0,0,0,18,2
"G0100250","2010","3","6","Alabama","01","Clarke County","025",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Clarke County",,25833,25562,13943,11280,96,74,4,9,156,271,127,56,7,3,0,58,20
"G0100270","2010","3","6","Alabama","01","Clay County","027",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Clay County",,13932,13533,11186,2048,55,23,0,5,216,399,194,18,0,1,0,167,19
"G0100290","2010","3","6","Alabama","01","Cleburne County","029",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Cleburne County",,14972,14665,13956,494,50,23,1,4,137,307,123,4,1,0,9,147,23
"G0100310","2010","3","6","Alabama","01","Coffee County","031",,,,,,,,,,,,,,"21460","99999","222",,,,,,,,,,,,,,"Coffee County",,49948,46768,36134,8257,602,629,51,52,1043,3180,1196,102,43,15,49,1571,204
"G0100330","2010","3","6","Alabama","01","Colbert County","033",,,,,,,,,,,,,,"22520","99999","999",,,,,,,,,,,,,,"Colbert County",,54428,53335,43334,8702,262,224,14,35,764,1093,455,66,5,5,6,475,81
"G0100350","2010","3","6","Alabama","01","Conecuh County","035",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Conecuh County",,13228,13067,6764,6122,44,17,0,6,114,161,24,27,0,0,1,91,18
"G0100370","2010","3","6","Alabama","01","Coosa County","037",,,,,,,,,,,,,,"10760","99999","388",,,,,,,,,,,,,,"Coosa County",,11539,11309,7604,3556,40,14,0,7,88,230,44,26,0,2,15,128,15
"G0100390","2010","3","6","Alabama","01","Covington County","039",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Covington County",,37765,37282,31751,4685,196,148,1,13,488,483,271,31,18,7,0,122,34
"G0100410","2010","3","6","Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Crenshaw County",,13906,13702,10020,3241,56,189,1,2,193,204,77,13,1,0,7,97,9
"G0100430","2010","3","6","Alabama","01","Cullman County","043",,,,,,,,,,,,,,"18980","99999","142",,,,,,,,,,,,,,"Cullman County",,80406,76952,74568,821,397,339,18,41,768,3454,1565,35,11,4,0,1718,121
"G0100450","2010","3","6","Alabama","01","Dale County","045",,,,,,,,,,,,,,"21460","99999","222",,,,,,,,,,,,,,"Dale County",,50251,47430,35705,9546,337,527,42,66,1207,2821,1531,133,34,7,2,816,298
"G0100470","2010","3","6","Alabama","01","Dallas County","047",,,,,,,,,,,,,,"42820","99999","999",,,,,,,,,,,,,,"Dallas County",,43820,43511,12676,30314,78,144,6,15,278,309,93,109,7,5,5,69,21
"G0100490","2010","3","6","Alabama","01","DeKalb County","049",,,,,,,,,,,,,,"22840","99999","999",,,,,,,,,,,,,,"DeKalb County",,71109,61419,57997,1029,865,166,35,41,1286,9690,2090,49,104,37,112,7010,288
"G0100510","2010","3","6","Alabama","01","Elmore County","051",,,,,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,,,"Elmore County",,79303,77174,59449,15814,269,514,50,74,1004,2129,1006,86,16,4,13,864,140
"G0100530","2010","3","6","Alabama","01","Escambia County","053",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Escambia County",,38319,37601,23508,12162,1274,86,12,20,539,718,276,58,14,6,0,323,41
"G0100550","2010","3","6","Alabama","01","Etowah County","055",,,,,,,,,,,,,,"23460","99999","999",,,,,,,,,,,,,,"Etowah County",,104430,100983,82789,15716,372,657,30,87,1332,3447,1034,80,76,15,141,1888,213
"G0100570","2010","3","6","Alabama","01","Fayette County","057",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Fayette County",,17241,17037,14832,1958,47,37,0,11,152,204,78,11,5,0,0,91,19
"G0100590","2010","3","6","Alabama","01","Franklin County","059",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Franklin County",,31704,26994,25249,1211,121,51,2,32,328,4710,1071,17,94,12,8,3306,202
"G0100610","2010","3","6","Alabama","01","Geneva County","061",,,,,,,,,,,,,,"20020","99999","222",,,,,,,,,,,,,,"Geneva County",,26790,25870,22692,2523,197,64,8,15,371,920,435,16,27,3,0,394,45
"G0100630","2010","3","6","Alabama","01","Greene County","063",,,,,,,,,,,,,,"46220","99999","999",,,,,,,,,,,,,,"Greene County",,9045,8976,1562,7349,11,15,0,0,39,69,13,21,6,0,0,25,4
"G0100650","2010","3","6","Alabama","01","Hale County","065",,,,,,,,,,,,,,"46220","99999","999",,,,,,,,,,,,,,"Hale County",,15760,15620,6213,9265,23,35,1,7,76,140,53,36,2,0,0,37,12
"G0100670","2010","3","6","Alabama","01","Henry County","067",,,,,,,,,,,,,,"20020","99999","222",,,,,,,,,,,,,,"Henry County",,17302,16913,11731,4915,54,45,2,5,161,389,134,27,3,9,0,201,15
